,Open,Close,Time,High,Low
0,479.02,479.38,2014-03-03T09:28:00+0530,479.54,479.02
1,475.12,474.87,2014-03-04T09:28:00+0530,475.12,474.85
2,477.75,477.75,2014-03-05T09:28:00+0530,477.85,477.63
3,480.47,480.37,2014-03-06T09:28:00+0530,480.48,480.25
4,478.44,477.87,2014-03-07T09:28:00+0530,478.44,477.82
5,461.1,461.25,2014-03-10T09:28:00+0530,461.44,461
6,456.88,456.57,2014-03-11T09:28:00+0530,456.92,456.5
7,461.29,461.37,2014-03-12T09:28:00+0530,461.48,460.88
8,423.67,424.56,2014-03-13T09:28:00+0530,424.78,423.18
9,423.7,424.13,2014-03-14T09:28:00+0530,424.38,423.7
10,423.73,423.88,2014-03-18T09:28:00+0530,423.88,423.59
11,410.04,409.38,2014-03-19T09:28:00+0530,410.04,408.45
12,411.48,411.63,2014-03-20T09:28:00+0530,411.78,411.39
13,413.75,412.77,2014-03-21T09:28:00+0530,413.75,411.59
14,413.99,414.09,2014-03-24T09:28:00+0530,414.25,413.94
15,407.73,407.7,2014-03-25T09:28:00+0530,407.99,407.5
16,405.42,405.88,2014-03-26T09:28:00+0530,405.99,405.42
17,405.17,405.12,2014-03-27T09:28:00+0530,405.74,405.07
18,405.57,405.7,2014-03-28T09:28:00+0530,405.71,405.38
19,413.84,413.76,2014-04-01T09:28:00+0530,414.24,413.75
20,416.89,417.05,2014-04-02T09:28:00+0530,417.09,416.89
21,416.44,416.64,2014-04-03T09:28:00+0530,416.78,416.44
22,419.12,418.88,2014-04-04T09:28:00+0530,419.14,418.88
23,413.25,413.38,2014-04-07T09:28:00+0530,413.38,413.03
24,410.72,410.64,2014-04-09T09:28:00+0530,410.89,410.63
25,405.17,404.87,2014-04-10T09:28:00+0530,405.21,404.79
26,400.58,400.47,2014-04-11T09:28:00+0530,400.58,400.37
27,416.98,417.37,2014-04-15T09:28:00+0530,417.63,416.87
28,402.37,402.13,2014-04-16T09:28:00+0530,402.5,402.13
29,396.65,396.89,2014-04-17T09:28:00+0530,397.12,396.63
30,400.25,400.47,2014-04-21T09:28:00+0530,400.61,400.25
31,398.68,398.44,2014-04-22T09:28:00+0530,398.68,398.26
32,397.31,396.97,2014-04-23T09:28:00+0530,397.31,396.93
33,397.85,397.4,2014-04-25T09:28:00+0530,397.92,397.4
34,397.4,397.39,2014-04-28T09:28:00+0530,397.56,397.32
35,398.39,398.39,2014-04-29T09:28:00+0530,398.39,398.25
36,398.25,398.32,2014-04-30T09:28:00+0530,398.4,398.25
37,400.25,400.33,2014-05-02T09:28:00+0530,400.33,400.06
38,403.13,403.09,2014-05-05T09:28:00+0530,403.63,402.89
39,397.36,397.41,2014-05-06T09:28:00+0530,398,397.11
40,394.45,395.44,2014-05-07T09:28:00+0530,395.44,394.45
41,384.75,384.63,2014-05-08T09:28:00+0530,384.89,384.5
42,383.82,383.75,2014-05-09T09:28:00+0530,383.84,383.75
43,390.78,391.2,2014-05-12T09:28:00+0530,391.2,390.64
44,399.01,399.19,2014-05-13T09:28:00+0530,399.37,398.75
45,404.63,404.65,2014-05-14T09:28:00+0530,404.75,404.35
46,408,407.44,2014-05-15T09:28:00+0530,408,407.35
47,411.75,411,2014-05-16T09:28:00+0530,411.84,410.8
48,386.39,386.39,2014-05-19T09:28:00+0530,386.51,386.38
49,384.6,383.74,2014-05-20T09:28:00+0530,384.6,383.63
50,389.77,390,2014-05-21T09:28:00+0530,390,389.56
51,390,390.37,2014-05-22T09:28:00+0530,390.4,390
52,387.47,387.38,2014-05-23T09:28:00+0530,387.5,387.38
53,386.5,386.28,2014-05-26T09:28:00+0530,386.5,386.25
54,391.27,391.14,2014-05-27T09:28:00+0530,391.5,390.88
55,392.45,392.74,2014-05-28T09:28:00+0530,392.76,392.41
56,371.45,371.13,2014-05-29T09:28:00+0530,371.76,370.82
57,367.5,367.38,2014-05-30T09:28:00+0530,367.5,367.13
58,372.52,373.25,2014-06-02T09:28:00+0530,373.29,372.52
59,377.85,377.85,2014-06-03T09:28:00+0530,377.87,377.84
60,374.75,374.04,2014-06-04T09:28:00+0530,374.75,373.75
61,371.88,371.47,2014-06-05T09:28:00+0530,371.9,371.38
